isbn,title,author,genre_gt,model,cover_colors,cover_style,mood,visual_elements,target_audience,marketing_text,raw,полнота,детальность,маркетинг,специфичность,итого
9780743273565,The Great Gatsby,F. Scott Fitzgerald,Classic,BLIP-2,"blue, green, red, and yellow",The Great Gatsby,The great gatsby,The great gatsby,,"The Great Gatsby by F. Scott Fitzgerald — a captivating classic book. The cover features the great gatsby, conveying the great gatsby. Perfect for .",,0.8,0.19,0.9866666666666667,0.625,0.6504166666666666
9780061120084,To Kill a Mockingbird,Harper Lee,Classic,BLIP-2,,,The mood of the book is one of melancholy and sadness,The cover of to kill a mockingbird,,"To Kill a Mockingbird by Harper Lee — a captivating classic book. The cover features the cover of to kill a mockingbird, conveying the mood of the book is one of melancholy and sadness. Perfect for .",,0.4,0.2175,1.0,0.125,0.43562500000000004
9780451524935,1984,George Orwell,Dystopia,BLIP-2,,,The mood of the book is one of sadness and loneliness.,The cover of george orwell's 1984,,"1984 by George Orwell — a captivating dystopia book. The cover features the cover of george orwell's 1984, conveying the mood of the book is one of sadness and loneliness.. Perfect for .",,0.4,0.2175,1.0,0.125,0.43562500000000004
9780316769174,The Catcher in the Rye,J.D. Salinger,Classic,BLIP-2,"red, blue, and yellow",The catcher in the rye,The book cover is a cover of a horse and rider on a horse,The catcher in the rye,The catcher in the rye,"The Catcher in the Rye by J.D. Salinger — a captivating classic book. The cover features the catcher in the rye, conveying the book cover is a cover of a horse and rider on a horse. Perfect for the catcher in the rye.",,1.0,0.36,1.0,0.0,0.59
9780140283334,Crime and Punishment,Fyodor Dostoevsky,Classic,BLIP-2,Lord of the flies,Lord of the flies,Lord of the Flies,Lord of the flies,Lord of the flies,"Crime and Punishment by Fyodor Dostoevsky — a captivating classic book. The cover features lord of the flies, conveying lord of the flies. Perfect for lord of the flies.",,1.0,0.2125,1.0,0.625,0.709375
9780679720225,Anna Karenina,Leo Tolstoy,Classic,BLIP-2,"black, white, and gray",The fall,The fall,The fall,The fall,"Anna Karenina by Leo Tolstoy — a captivating classic book. The cover features the fall, conveying the fall. Perfect for the fall.",,0.2,0.135,0.86,0.625,0.455
9780486282114,Moby Dick,Herman Melville,Classic,BLIP-2,,,A mood of melancholy,The cover of frankenstein by mary shelley,,"Moby Dick by Herman Melville — a captivating classic book. The cover features the cover of frankenstein by mary shelley, conveying a mood of melancholy. Perfect for .",,0.4,0.1525,1.0,0.375,0.481875
9780141439556,Great Expectations,Charles Dickens,Classic,BLIP-2,The cover is black and white.,The cover is a painting of a tree with a man in the foreground.,The mood of the book is one of melancholy and sadness.,The cover of the book is a painting of a tree with a man in the foreground.,The target audience for this book is the general reader.,"Great Expectations by Charles Dickens — a captivating classic book. The cover features the cover of the book is a painting of a tree with a man in the foreground., conveying the mood of the book is one of melancholy and sadness.. Perfect for the target audience for this book is the general reader..",,1.0,0.6925,1.0,0.0,0.673125
9780374528379,Madame Bovary,Gustave Flaubert,Classic,BLIP-2,"red, blue, and yellow",The brothers karamazov,The mood of the book is that of a book that is about to be destroyed.,The brothers karamazov,The brothers karamazov,"Madame Bovary by Gustave Flaubert — a captivating classic book. The cover features the brothers karamazov, conveying the mood of the book is that of a book that is about to be destroyed.. Perfect for the brothers karamazov.",,1.0,0.39,1.0,0.125,0.62875
9780618640157,The Lord of the Rings,J.R.R. Tolkien,Fantasy,BLIP-2,,"The cover of the lord of the rings is a combination of the two most popular styles of the time, the gothic and the renaissance.",The lord of the rings,the lord of the rings,,"The Lord of the Rings by J.R.R. Tolkien — a captivating fantasy book. The cover features the lord of the rings, conveying the lord of the rings. Perfect for .",,0.6,0.4225,1.0,0.5,0.630625
